steam_appid,canonical_game_title,date,review_count
120001,Whispering Rooms,2025-12-25,100
120001,Whispering Rooms,2025-12-26,101
120001,Whispering Rooms,2025-12-27,102
120001,Whispering Rooms,2025-12-28,103
120001,Whispering Rooms,2025-12-29,104
120001,Whispering Rooms,2025-12-30,104
120001,Whispering Rooms,2025-12-31,105
120001,Whispering Rooms,2026-01-01,106
120001,Whispering Rooms,2026-01-02,107
120001,Whispering Rooms,2026-01-03,108
120001,Whispering Rooms,2026-01-04,109
120001,Whispering Rooms,2026-01-05,110
120001,Whispering Rooms,2026-01-06,111
120001,Whispering Rooms,2026-01-07,112
120001,Whispering Rooms,2026-01-08,113
120001,Whispering Rooms,2026-01-09,114
120001,Whispering Rooms,2026-01-10,116
120001,Whispering Rooms,2026-01-11,118
120001,Whispering Rooms,2026-01-12,120
120001,Whispering Rooms,2026-01-13,121
120001,Whispering Rooms,2026-01-14,122
120001,Whispering Rooms,2026-01-15,123
120001,Whispering Rooms,2026-01-16,124
120001,Whispering Rooms,2026-01-17,125
120001,Whispering Rooms,2026-01-18,126
120001,Whispering Rooms,2026-01-19,127
120001,Whispering Rooms,2026-01-20,128
120001,Whispering Rooms,2026-01-21,129
120001,Whispering Rooms,2026-01-22,130
120001,Whispering Rooms,2026-01-23,131
120001,Whispering Rooms,2026-01-24,132
120001,Whispering Rooms,2026-01-25,133
120001,Whispering Rooms,2026-01-26,134
120002,Gridmancer Mini,2025-12-28,210
120002,Gridmancer Mini,2025-12-29,211
120002,Gridmancer Mini,2025-12-30,212
120002,Gridmancer Mini,2025-12-31,213
120002,Gridmancer Mini,2026-01-01,214
120002,Gridmancer Mini,2026-01-02,215
120002,Gridmancer Mini,2026-01-03,216
120002,Gridmancer Mini,2026-01-04,217
120002,Gridmancer Mini,2026-01-05,218
120002,Gridmancer Mini,2026-01-06,219
120002,Gridmancer Mini,2026-01-07,220
120002,Gridmancer Mini,2026-01-08,221
120002,Gridmancer Mini,2026-01-09,222
120002,Gridmancer Mini,2026-01-10,223
120002,Gridmancer Mini,2026-01-11,226
120002,Gridmancer Mini,2026-01-12,228
120002,Gridmancer Mini,2026-01-13,229
120002,Gridmancer Mini,2026-01-14,230
120002,Gridmancer Mini,2026-01-15,231
120002,Gridmancer Mini,2026-01-16,232
120002,Gridmancer Mini,2026-01-17,233
120002,Gridmancer Mini,2026-01-18,234
120002,Gridmancer Mini,2026-01-19,235
120002,Gridmancer Mini,2026-01-20,236
120002,Gridmancer Mini,2026-01-21,237
120002,Gridmancer Mini,2026-01-22,238
120002,Gridmancer Mini,2026-01-23,239
120002,Gridmancer Mini,2026-01-24,240
120002,Gridmancer Mini,2026-01-25,241
120002,Gridmancer Mini,2026-01-26,242
