steam_appid,game_title,review_created_date,voted_up
2653790,The Exit 8,2024-01-01,true
2653790,The Exit 8,2024-01-02,true
2653790,The Exit 8,2024-01-03,false
2653790,The Exit 8,2024-01-04,true
2653790,The Exit 8,2024-01-05,true
2653790,The Exit 8,2024-01-06,true
2653790,The Exit 8,2024-01-07,false
2653790,The Exit 8,2024-01-08,true
2653790,The Exit 8,2024-01-09,true
2653790,The Exit 8,2024-01-10,true
2653790,The Exit 8,2024-01-11,true
2653790,The Exit 8,2024-01-12,false
2653790,The Exit 8,2024-01-13,true
2653790,The Exit 8,2024-01-14,true
2653790,The Exit 8,2024-01-15,true
2653790,The Exit 8,2024-01-15,true
2653790,The Exit 8,2024-01-16,true
2653790,The Exit 8,2024-01-16,false
2653790,The Exit 8,2024-01-17,true
2653790,The Exit 8,2024-01-18,true
2653790,The Exit 8,2024-01-19,false
2653790,The Exit 8,2024-01-20,true
2653790,The Exit 8,2024-01-21,true
2653790,The Exit 8,2024-01-22,true
2653790,The Exit 8,2024-01-23,false
2653790,The Exit 8,2024-01-24,true
2653790,The Exit 8,2024-01-25,true
2653790,The Exit 8,2024-01-26,true
2653790,The Exit 8,2024-01-27,true
2653790,The Exit 8,2024-01-28,true
2653790,The Exit 8,2024-01-29,false
2653790,The Exit 8,2024-01-30,true
1843090,The Closing Shift,2024-01-04,true
1843090,The Closing Shift,2024-01-05,true
1843090,The Closing Shift,2024-01-06,false
1843090,The Closing Shift,2024-01-07,true
1843090,The Closing Shift,2024-01-08,true
1843090,The Closing Shift,2024-01-09,true
1843090,The Closing Shift,2024-01-10,false
1843090,The Closing Shift,2024-01-11,true
1843090,The Closing Shift,2024-01-12,true
1843090,The Closing Shift,2024-01-13,true
1843090,The Closing Shift,2024-01-14,true
1843090,The Closing Shift,2024-01-15,false
1843090,The Closing Shift,2024-01-16,true
1843090,The Closing Shift,2024-01-17,true
1843090,The Closing Shift,2024-01-18,true
1843090,The Closing Shift,2024-01-18,true
1843090,The Closing Shift,2024-01-19,true
1843090,The Closing Shift,2024-01-19,false
1843090,The Closing Shift,2024-01-20,true
1843090,The Closing Shift,2024-01-21,true
1843090,The Closing Shift,2024-01-22,false
1843090,The Closing Shift,2024-01-23,true
1843090,The Closing Shift,2024-01-24,true
1843090,The Closing Shift,2024-01-25,true
1843090,The Closing Shift,2024-01-26,false
1843090,The Closing Shift,2024-01-27,true
1843090,The Closing Shift,2024-01-28,true
1843090,The Closing Shift,2024-01-29,true
1843090,The Closing Shift,2024-01-30,true
