steam_appid,canonical_game_title,date,review_count,review_diff
120001,Whispering Rooms,2025-12-25,100,0.0
120001,Whispering Rooms,2025-12-26,101,1.0
120001,Whispering Rooms,2025-12-27,102,1.0
120001,Whispering Rooms,2025-12-28,103,1.0
120001,Whispering Rooms,2025-12-29,104,1.0
120001,Whispering Rooms,2025-12-30,104,0.0
120001,Whispering Rooms,2025-12-31,105,1.0
120001,Whispering Rooms,2026-01-01,106,1.0
120001,Whispering Rooms,2026-01-02,107,1.0
120001,Whispering Rooms,2026-01-03,108,1.0
120001,Whispering Rooms,2026-01-04,109,1.0
120001,Whispering Rooms,2026-01-05,110,1.0
120001,Whispering Rooms,2026-01-06,111,1.0
120001,Whispering Rooms,2026-01-07,112,1.0
120001,Whispering Rooms,2026-01-08,113,1.0
120001,Whispering Rooms,2026-01-09,114,1.0
120001,Whispering Rooms,2026-01-10,116,2.0
120001,Whispering Rooms,2026-01-11,118,2.0
120001,Whispering Rooms,2026-01-12,120,2.0
120001,Whispering Rooms,2026-01-13,121,1.0
120001,Whispering Rooms,2026-01-14,122,1.0
120001,Whispering Rooms,2026-01-15,123,1.0
120001,Whispering Rooms,2026-01-16,124,1.0
120001,Whispering Rooms,2026-01-17,125,1.0
120001,Whispering Rooms,2026-01-18,126,1.0
120001,Whispering Rooms,2026-01-19,127,1.0
120001,Whispering Rooms,2026-01-20,128,1.0
120001,Whispering Rooms,2026-01-21,129,1.0
120001,Whispering Rooms,2026-01-22,130,1.0
120001,Whispering Rooms,2026-01-23,131,1.0
120001,Whispering Rooms,2026-01-24,132,1.0
120001,Whispering Rooms,2026-01-25,133,1.0
120001,Whispering Rooms,2026-01-26,134,1.0
120002,Gridmancer Mini,2025-12-28,210,0.0
120002,Gridmancer Mini,2025-12-29,211,1.0
120002,Gridmancer Mini,2025-12-30,212,1.0
120002,Gridmancer Mini,2025-12-31,213,1.0
120002,Gridmancer Mini,2026-01-01,214,1.0
120002,Gridmancer Mini,2026-01-02,215,1.0
120002,Gridmancer Mini,2026-01-03,216,1.0
120002,Gridmancer Mini,2026-01-04,217,1.0
120002,Gridmancer Mini,2026-01-05,218,1.0
120002,Gridmancer Mini,2026-01-06,219,1.0
120002,Gridmancer Mini,2026-01-07,220,1.0
120002,Gridmancer Mini,2026-01-08,221,1.0
120002,Gridmancer Mini,2026-01-09,222,1.0
120002,Gridmancer Mini,2026-01-10,223,1.0
120002,Gridmancer Mini,2026-01-11,226,3.0
120002,Gridmancer Mini,2026-01-12,228,2.0
120002,Gridmancer Mini,2026-01-13,229,1.0
120002,Gridmancer Mini,2026-01-14,230,1.0
120002,Gridmancer Mini,2026-01-15,231,1.0
120002,Gridmancer Mini,2026-01-16,232,1.0
120002,Gridmancer Mini,2026-01-17,233,1.0
120002,Gridmancer Mini,2026-01-18,234,1.0
120002,Gridmancer Mini,2026-01-19,235,1.0
120002,Gridmancer Mini,2026-01-20,236,1.0
120002,Gridmancer Mini,2026-01-21,237,1.0
120002,Gridmancer Mini,2026-01-22,238,1.0
120002,Gridmancer Mini,2026-01-23,239,1.0
120002,Gridmancer Mini,2026-01-24,240,1.0
120002,Gridmancer Mini,2026-01-25,241,1.0
120002,Gridmancer Mini,2026-01-26,242,1.0
